tag,model,loss,sampler,consistency,seed,epochs,best_epoch,OA,mIoU,SeK,Fscd,IoU_change,IoU_no-change,IoU_non-veg ground,IoU_tree,IoU_low vegetation,IoU_water,IoU_building,IoU_playground,train_min
A_early_fusion_ce,early_fusion,ce,uniform,False,0,20,20,84.15,63.71,7.97,46.12,42.51,84.91,28.7,27.97,9.38,0.04,39.87,9.66,9.5
A_sscd_ce,sscd,ce,uniform,False,0,20,15,85.92,68.02,13.59,52.48,49.28,86.75,33.16,31.71,18.76,20.92,47.84,25.86,21.1
A_bisrnet_ce,bisrnet,ce,uniform,True,0,20,16,85.75,68.65,14.24,53.36,50.67,86.63,34.0,32.09,19.01,19.62,49.31,29.79,22.5
B_bisrnet_wce,bisrnet,wce,uniform,True,0,20,19,84.04,68.42,14.52,53.01,51.77,85.06,34.8,32.25,19.67,20.89,47.85,29.82,22.2
B_bisrnet_median,bisrnet,median,uniform,True,0,20,18,83.13,68.11,14.36,51.82,51.86,84.35,34.45,31.48,18.67,16.36,46.76,29.15,22.6
B_bisrnet_cb,bisrnet,cb,uniform,True,0,20,18,83.39,68.08,14.29,52.4,51.69,84.47,34.31,31.69,19.91,18.73,47.14,31.61,34.7
B_bisrnet_focal,bisrnet,focal,uniform,True,0,20,19,81.58,66.31,13.89,52.09,50.34,82.27,33.22,31.35,20.29,22.28,46.82,33.59,22.9
B_bisrnet_dice,bisrnet,dice,uniform,True,0,20,18,85.03,68.98,14.67,53.76,51.96,86.0,34.57,32.51,19.1,22.08,49.52,33.81,24.1
B_bisrnet_ohem,bisrnet,ohem,uniform,True,0,20,10,43.31,32.2,3.6,26.77,25.79,38.62,13.67,16.12,12.36,14.56,17.93,19.03,22.6
B_bisrnet_ce_rare,bisrnet,ce,rare,True,0,20,14,85.13,67.93,13.67,53.14,49.96,85.89,34.41,31.82,19.9,22.01,48.05,32.67,22.6
B_bisrnet_combo,bisrnet,combo,uniform,True,0,20,19,84.27,68.97,15.38,53.88,52.66,85.28,35.16,33.05,20.66,22.99,48.93,32.86,24.3
B_bisrnet_combo_rare,bisrnet,combo,rare,True,0,20,19,84.22,68.5,14.38,53.04,51.75,85.24,34.42,31.57,19.39,22.91,48.8,39.16,23.9
