tag,model,technique,OA,mIoU,SeK,Fscd,IoU_change,IoU_no-change,IoU_non-veg ground,IoU_tree,IoU_low vegetation,IoU_water,IoU_building,IoU_playground,val_SeK,best_epoch,train_min
A_early_fusion_ce,early_fusion,CE (baseline),84.15,63.71,7.97,46.12,42.51,84.91,28.70,27.97,9.38,0.04,39.87,9.66,8.29,20,9.5
A_sscd_ce,sscd,CE (baseline),85.92,68.02,13.59,52.48,49.28,86.75,33.16,31.71,18.76,20.92,47.84,25.86,13.67,15,21.1
A_bisrnet_ce,bisrnet,CE (baseline),85.75,68.65,14.24,53.36,50.67,86.63,34.00,32.09,19.01,19.62,49.31,29.79,14.48,16,22.5
B_bisrnet_combo,bisrnet,WCE + Dice,84.27,68.97,15.38,53.88,52.66,85.28,35.16,33.05,20.66,22.99,48.93,32.86,15.54,19,24.3
B_bisrnet_dice,bisrnet,CE + Dice,85.03,68.98,14.67,53.76,51.96,86.00,34.57,32.51,19.10,22.08,49.52,33.81,15.03,18,24.1
B_bisrnet_wce,bisrnet,Weighted CE,84.04,68.42,14.52,53.01,51.77,85.06,34.80,32.25,19.67,20.89,47.85,29.82,15.62,19,22.2
B_bisrnet_combo_rare,bisrnet,WCE + Dice + rare sampling,84.22,68.50,14.38,53.04,51.75,85.24,34.42,31.57,19.39,22.91,48.80,39.16,14.99,19,23.9
B_bisrnet_median,bisrnet,Median-freq,83.13,68.11,14.36,51.82,51.86,84.35,34.45,31.48,18.67,16.36,46.76,29.15,14.76,18,22.6
B_bisrnet_cb,bisrnet,Class-balanced,83.39,68.08,14.29,52.40,51.69,84.47,34.31,31.69,19.91,18.73,47.14,31.61,15.29,18,34.7
B_bisrnet_focal,bisrnet,Focal,81.58,66.31,13.89,52.09,50.34,82.27,33.22,31.35,20.29,22.28,46.82,33.59,14.69,19,22.9
B_bisrnet_ce_rare,bisrnet,CE + rare sampling,85.13,67.93,13.67,53.14,49.96,85.89,34.41,31.82,19.90,22.01,48.05,32.67,14.31,14,22.6
B_bisrnet_ohem,bisrnet,OHEM,43.31,32.20,3.60,26.77,25.79,38.62,13.67,16.12,12.36,14.56,17.93,19.03,3.85,10,22.6
